SITE_ID,SITE_NUM,SITE_NAME,ACTIVE,INACTIVE,AGENCY,STATE,COUNTY,TIME_ZONE,LATITUDE,LONGITUDE,ELEVATION,MAPID,LAND_USE,TERRAIN,MLM,NADP_ID,NADP_DISTANCE,UPDATE_DATE
EVE419,419,Everglades NP,dm,o,NPS,FL,Miami-Dade,EA,25.391223,-80.680819,2.0,,Forest/Marsh,Flat,Yes,FL11,0.159,2020-01-30 13:25:29
FOR605,605,Fortification Creek,dm,,BLM,WY,Campbell,MO,44.3395,-105.9198,1408.0,,Prairie,Rolling,Mixed,WY99,147.744,2020-01-30 13:25:29
GAS153,153,Georgia Station,dom,,EPA,GA,Pike,EA,33.181173,-84.410054,265.0,"Hollonville, GA",Agric,Rolling,Mixed,GA41,0.078,2020-01-30 13:25:29
GAS253,253,Georgia Station Collocated,,dom,EPA,GA,Pike,EA,33.181173,-84.410054,265.0,,Agric,Rolling,Mixed,GA41,0.078,2020-01-30 13:25:29
GLR468,468,Glacier NP,dom,,NPS,MT,Flathead,MO,48.510301,-113.996807,976.0,"Lake McDonald West, MT",Forest,Complex,No,MT05,0.018,2020-01-30 13:25:29
GRB411,411,Great Basin NP,dom,,NPS,NV,White Pine,PA,39.005121,-114.215932,2060.0,,Forest,Complex,No,NV05,0.098,2020-01-30 13:25:29
GRC474,474,Grand Canyon NP,dom,,NPS,AZ,Coconino,MOno,36.058642,-112.183575,2073.0,Grand Canyon,Forest,Rolling,Mixed,AZ03,0.039,2020-01-30 13:25:29
GRS420,420,Great Smoky NP - Look Rock,domt,,NPS,TN,Blount,EA,35.633482,-83.941606,793.0,,Forest,Complex,No,TN11,32.0,2020-01-30 13:25:29
GRT434,434,Grand Teton NP,om,,NPS,WY,Teton,MO,43.6708,-110.5995,2105.0,,Forest,Rolling,No,WY94,19.813,2020-01-30 13:25:29
GTH161,161,Gothic,domp,w,EPA,CO,Gunnison,MO,38.95627,-106.98587,2915.0,"Gothic, CO",Range,Complex,No,CO10,0.022,2020-01-30 13:25:29
HBR183,183,Hubbard Brook Special,,d,EPA,NH,Grafton,EA,43.95,-71.7,322.0,,Forest,Complex,No,NH02,0.78,2020-01-30 13:25:29
HOW132,132,Howland,,dom,EPA,ME,Penobscot,EA,45.215607,-68.70851,66.0,"Howland, ME",Forest,Rolling,Yes,ME09,80.859,2020-01-30 13:25:29
HOW191,191,Howland Ameriflux,,dom,EPA,ME,Penobscot,EA,45.203963,-68.740041,68.0,,Forest,Rolling,No,ME09,79.091,2020-01-30 13:25:29
HOX148,148,Hoxeyville,dom,,EPA,MI,Wexford,EA,44.18089,-85.73898,297.0,"Wellston, MI",Forest,Flat,Yes,MI53,7.979,2020-01-30 13:25:29
HVT424,424,Hawaii Volcanoes NP,,dom,NPS,HI,Hawaii,HAno,19.4197,-155.24,1199.0,,Forest/Tropical,Complex,No,CA45,3773.537,2020-01-30 13:25:29
HWF187,187,Huntington Wildlife Forest,domt,,EPA,NY,Essex,EA,43.973044,-74.223317,497.0,Newcomb,Forest,Complex,No,NY20,0.018,2020-01-30 13:25:29
IRL141,141,Indian River Lagoon,dom,,EPA,FL,Indian River,EA,27.849215,-80.455595,2.0,,Coastal/Marsh,Flat/Water,Yes,FL41,187.731,2020-01-30 13:25:29
